name,episode_number,episode_season,date,country,channel,episode_url
SkyMed,06,2,05-11-2023,Canada,CBC Gem,serie-14310-SkyMed.html
The Gilded Age,02,2,05-11-2023,Etats-Unis,HBO,serie-13620-The-Gilded-Age.html
The Simpsons,05,35,05-11-2023,Etats-Unis,Fox,serie-224-The-Simpsons.html
The Winter King,10,1,05-11-2023,Royaume-Uni,ITVX,serie-15487-The-Winter-King.html
Found,06,1,07-11-2023,Etats-Unis,NBC,serie-14723-Found.html
The Oval,04,5,07-11-2023,Etats-Unis,BET,serie-9601-The-Oval.html
Black Cake,04,1,08-11-2023,Etats-Unis,Hulu,serie-15614-Black-Cake.html
Blanca,06,2,08-11-2023,Italie,Rai 1,serie-14708-Blanca.html
Children Ruin Everything,07,3,08-11-2023,Canada,CTV,serie-13789-Children-Ruin-Everything.html
Chucky,06,3,08-11-2023,Etats-Unis,Syfy,serie-13240-Chucky.html
Cooper's Bar,06,2,08-11-2023,Etats-Unis,AMC,serie-14480-Cooper-s-Bar.html
Culprits,01,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,02,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,03,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,04,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,05,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,06,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,07,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Culprits,08,1,08-11-2023,Etats-Unis,Disney+,serie-15697-Culprits.html
Hotel Mondial,06,2,08-11-2023,Allemagne,ZDF,serie-14993-Hotel-Mondial.html
Hudson & Rex,06,6,08-11-2023,Canada,Citytv,serie-8391-Hudson--Rex.html
Inspirez expirez,06,1,08-11-2023,Canada,CraveTV,serie-15707-Inspirez-expirez.html
Inspirez expirez,07,1,08-11-2023,Canada,CraveTV,serie-15707-Inspirez-expirez.html
Robyn Hood,07,1,08-11-2023,Canada,Global,serie-15665-Robyn-Hood.html
Shetland,02,8,08-11-2023,Royaume-Uni,BBC One,serie-1139-Shetland.html
Sistas,15,6,08-11-2023,Etats-Unis,BET,serie-9954-Sistas.html
SurrealEstate,06,2,08-11-2023,Etats-Unis,Syfy,serie-13085-SurrealEstate.html
The Buccaneers (2023),01,1,08-11-2023,Etats-Unis,Apple TV+,serie-15529-The-Buccaneers-(2023).html
The Buccaneers (2023),02,1,08-11-2023,Etats-Unis,Apple TV+,serie-15529-The-Buccaneers-(2023).html
The Buccaneers (2023),03,1,08-11-2023,Etats-Unis,Apple TV+,serie-15529-The-Buccaneers-(2023).html
The Morning Show,10,3,08-11-2023,Etats-Unis,Apple TV+,serie-9906-The-Morning-Show.html
The Santa Clauses,01,2,08-11-2023,Etats-Unis,Disney+,serie-14533-The-Santa-Clauses.html
